system:index,Air_Temp,LST,L_NDVI,NDBI,NDWI,Relative_Humidity,S2_NDVI,Wind_Speed,.geo
1268,18.42692909240725,29.517343159999996,0.7016296726147299,-0.1391683824767232,-0.6529189605606809,63.215962152773066,0.6637589214908802,3.0261659658319164,"{""type"":""Point"",""coordinates"":[77.46903305079995,13.06456055446982]}"
1269,18.12785682678225,29.65406396000003,0.3795808406956936,-0.06833975057141539,-0.4204364674688966,65.54639981076248,0.1415525114155251,3.042692733145983,"{""type"":""Point"",""coordinates"":[77.71526288881715,12.994880487760657]}"
1270,18.345793024698935,29.41480256,0.7792424600362232,-0.24968750345682017,-0.7356429559072055,64.89503711773511,0.785402370555209,2.935192618336431,"{""type"":""Point"",""coordinates"":[77.74712651797299,12.824700935475715]}"
1271,18.17033729553225,31.513466839999978,0.5867995497350577,-0.10023351439159355,-0.5998449869899797,64.52942736293296,0.4575766597201548,3.0582498735863313,"{""type"":""Point"",""coordinates"":[77.61128509546799,13.128328223392822]}"
1272,18.33977088928225,28.676510240000027,0.30212175120406126,-0.16265254729773357,-0.21910926349713603,64.03543207444856,-0.03194103194103194,2.992261602896399,"{""type"":""Point"",""coordinates"":[77.57448906413435,12.887769477536251]}"
1273,18.178475316365564,32.091112220000014,0.4446312404064031,-0.07327492578379552,-0.4446312404064031,64.33165852586,0.5275541795665635,3.0367836134203143,"{""type"":""Point"",""coordinates"":[77.60931880413364,13.016063328250311]}"
1274,18.17033729553225,27.68870246000006,0.6879007411108335,-0.2589280168933607,-0.6217153219784519,64.52942736293296,0.7396358000774893,3.0582498735863313,"{""type"":""Point"",""coordinates"":[77.56655243570309,13.134747176100582]}"
1275,18.12785682678225,28.80981301999998,0.38637121095115395,-0.15073983361334337,-0.3691097374969898,65.54639981076248,0.6649508656995788,3.042692733145983,"{""type"":""Point"",""coordinates"":[77.662441088399,12.980966456013894]}"
1276,18.543546930948935,32.44316828000001,0.5399986301838977,-0.0703647063723944,-0.579110006935239,62.90115217725584,0.3611111111111111,2.984148439590686,"{""type"":""Point"",""coordinates"":[77.45640253323722,12.961578875224939]}"
1277,18.33977088928225,30.498314900000025,0.3449163203842783,-0.08115935366722603,-0.3699058343850112,64.03543207444856,0.10219249349684133,2.992261602896399,"{""type"":""Point"",""coordinates"":[77.58979964207613,12.935400023744934]}"
1278,18.574796930948935,31.728802100000053,0.5988631538814803,-0.11019524081706335,-0.6066732842240915,63.63319549091134,0.7582037996545768,2.94861928655015,"{""type"":""Point"",""coordinates"":[77.574355074216,12.810932585673562]}"
1279,18.12785682678225,29.03540234000002,0.2616668512979579,0.1367384889032624,-0.41889186966885644,65.54639981076248,0.1488469601677149,3.042692733145983,"{""type"":""Point"",""coordinates"":[77.72003750348826,13.041938698054814]}"
1280,18.079354222615564,31.612589420000006,0.5402869757174393,-0.02273651182630697,-0.5916170652600063,65.82244784811813,0.41814720812182743,3.078370231760757,"{""type"":""Point"",""coordinates"":[77.73016571648415,13.134154048440143]}"
1281,18.178475316365564,30.751248379999993,0.18227396329027873,0.09149233142605277,-0.24039093755920327,64.33165852586,0.08614232209737828,3.0367836134203143,"{""type"":""Point"",""coordinates"":[77.59925147916012,13.027617407950125]}"
1282,18.33977088928225,29.582285540000044,0.17122315549454378,-0.004316164000930991,-0.22723726554627313,64.03543207444856,0.13587786259541984,2.992261602896399,"{""type"":""Point"",""coordinates"":[77.55289635405691,12.913351246937173]}"
1283,18.23601112365725,31.533974960000023,0.40182648401826476,0.015596370299275903,-0.4365544847563645,65.39613749133562,0.19509275882704968,2.988557521308597,"{""type"":""Point"",""coordinates"":[77.70659608280327,12.9244480444859]}"
1284,18.178475316365564,31.821088640000028,0.24477927263862947,0.097736642827093,-0.261858533083866,64.33165852586,0.10023785253143051,3.0367836134203143,"{""type"":""Point"",""coordinates"":[77.5521571558053,13.024397872462762]}"
1285,18.543546930948935,31.192172959999994,0.16938132328863068,0.04635546911179031,-0.21020206274425296,62.90115217725584,0.11533333333333333,2.984148439590686,"{""type"":""Point"",""coordinates"":[77.52009814038026,13.001436388355685]}"
1286,18.23601112365725,32.30644748000003,0.4776468430464486,-0.07800896500970098,-0.5047803602488822,65.39613749133562,0.5695364238410596,2.988557521308597,"{""type"":""Point"",""coordinates"":[77.64996063805606,12.890147454816482]}"
1287,18.77092323303225,32.81231444000002,0.5513898363711484,-0.1040198015740064,-0.4869551603783141,62.60771955682329,0.5513021650454973,2.9235547705381513,"{""type"":""Point"",""coordinates"":[77.50504128707138,12.90222119016667]}"
1288,18.12785682678225,31.007599880000043,0.22095268884899727,0.034415012077213446,-0.27550349289866144,65.54639981076248,0.13553719008264462,3.042692733145983,"{""type"":""Point"",""coordinates"":[77.73149109755505,13.004112042247126]}"
1289,18.17033729553225,29.67457208000002,0.40379879736565816,-0.014338227687469302,-0.4600577764982678,64.52942736293296,0.47275031685678076,3.0582498735863313,"{""type"":""Point"",""coordinates"":[77.60492926417427,13.088356869391411]}"
1290,18.12785682678225,33.36261566000002,0.20490105404765,0.053561243298090144,-0.27910807455432135,65.54639981076248,0.285863146926016,3.042692733145983,"{""type"":""Point"",""coordinates"":[77.71971296051204,12.956437094604453]}"
1291,18.178475316365564,31.004181860000017,0.21590723323561142,0.0836604957537328,-0.28296592725474634,64.33165852586,0.11441441441441441,3.0367836134203143,"{""type"":""Point"",""coordinates"":[77.6215046727105,12.953119480745166]}"
1292,18.345793024698935,29.900161400000002,0.559555010994896,-0.11081057650628519,-0.5758713708255783,64.89503711773511,0.4752829064919595,2.935192618336431,"{""type"":""Point"",""coordinates"":[77.74091606171889,12.812389023097811]}"
1293,18.77092323303225,32.31328352000003,0.5091203196398091,0.02453949302072338,-0.5559432497655901,62.60771955682329,0.40384109444882926,2.9235547705381513,"{""type"":""Point"",""coordinates"":[77.46747672118956,12.895657473492811]}"
1294,18.33977088928225,27.285376100000008,0.7011416667636483,-0.45667078566588265,-0.6047910765650045,64.03543207444856,0.6674816625916871,2.992261602896399,"{""type"":""Point"",""coordinates"":[77.56156762122104,12.882108443181577]}"
1295,18.574796930948935,32.45684036,0.4841519608285165,-0.018168770994302474,-0.5380043732595734,63.63319549091134,0.4144079885877318,2.94861928655015,"{""type"":""Point"",""coordinates"":[77.6485081286278,12.81367705802169]}"
1296,18.543546930948935,31.639933580000047,0.40513541288840527,-0.021635936092125777,-0.4411935671381515,62.90115217725584,0.25065963060686014,2.984148439590686,"{""type"":""Point"",""coordinates"":[77.46250958738865,12.9519815021291]}"
1297,18.17033729553225,29.630137820000016,0.18639194122095348,0.009177030135277424,-0.2619463753723932,64.52942736293296,0.10137511992324912,3.0582498735863313,"{""type"":""Point"",""coordinates"":[77.55945728203257,13.083143846517785]}"
1298,18.23601112365725,34.84261832000004,0.4995433502346235,0.04263072971383478,-0.5564272288959711,65.39613749133562,0.4598623853211009,2.988557521308597,"{""type"":""Point"",""coordinates"":[77.74611822941101,12.910219083291349]}"
1299,18.345793024698935,32.32353757999999,0.2820465475421118,0.10198178707693756,-0.3782425494672069,64.89503711773511,0.3181198910081744,2.935192618336431,"{""type"":""Point"",""coordinates"":[77.74742811070092,12.828870164458786]}"
1300,18.12785682678225,31.52030288000003,0.17650465513008548,0.04982790789895125,-0.2564605910667707,65.54639981076248,0.12125096129197642,3.042692733145983,"{""type"":""Point"",""coordinates"":[77.69098684114329,12.98626020613065]}"
1301,18.12785682678225,31.530556939999997,0.5279989829058839,-0.08075143469090779,-0.5279989829058839,65.54639981076248,0.4728682170542636,3.042692733145983,"{""type"":""Point"",""coordinates"":[77.74250438436418,13.036989975526806]}"
