Albedo,Built_Probability,Center_Latitude,Center_Longitude,Distance_To_Water,Elevation,Grid_ID,Grid_X,Grid_Y,Historical_Samples,Historical_Unique_Dates,L_NDVI,NDBI,NDWI,Observation_Support,S2_NDVI,Tree_Probability,date,Landsat_Acquisition_Time,sentinel_date
0.10948274060945373,0.08206201008098539,12.796442687747035,77.54276809510633,1153.0543872579972,797.5712756151169,8411_1424,8411,1424,0,0,0.4703572516431901,-0.00658407221412461,-0.5244810330777775,Prediction Only,0.4640956080726311,0.4420531680984699,2026-01-27,2026-01-27 05:10:56,2026-01-22
0.1480198489573828,0.07699248050611097,12.796442687747035,77.55198675623635,2917.588512552532,852.7987091011563,8412_1424,8412,1424,0,0,0.367602157635513,0.11033764257526081,-0.4833554954917704,Prediction Only,0.3353312757508894,0.24272414760610156,2026-01-27,2026-01-27 05:10:56,2026-01-22
0.1273160247807812,0.11010433098714836,12.796442687747035,77.56120541736635,974.0347782194815,892.1598098573581,8413_1424,8413,1424,1,1,0.4458208451869117,0.047745374176266314,-0.5053723452657415,Limited,0.4324494758056112,0.378565933208329,2026-01-27,2026-01-27 05:10:56,2026-01-22
0.11720159788902187,0.06805597160478784,12.796442687747035,77.57042407849637,2405.707924278323,919.4462451923927,8414_1424,8414,1424,0,0,0.5128410697376274,0.0020811255002548233,-0.5425114650004573,Prediction Only,0.5025134959497203,0.4842039609990291,2026-01-27,2026-01-27 05:10:56,2026-01-22
0.1178201401170792,0.15168470329418376,12.796442687747035,77.57964273962638,5637.104119942195,931.9514599238669,8415_1424,8415,1424,2,2,0.5483484499345715,-0.06565912859132314,-0.566168649836824,Limited,0.54071880340204,0.46132709926658816,2026-01-27,2026-01-27 05:10:56,2026-01-22
0.13298060039379894,0.1115074199346707,12.796442687747035,77.5888614007564,7352.81302993187,916.4782514683938,8416_1424,8416,1424,0,0,0.4505685397136339,0.01727895755312075,-0.5075180320694327,Prediction Only,0.43049329220917726,0.33662555451061144,2026-01-27,2026-01-27 05:10:56,2026-01-22
0.1503529676150417,0.2975219235995028,12.796442687747035,77.5980800618864,4443.7009990190545,914.6774365063891,8417_1424,8417,1424,0,0,0.3992809624970662,0.04917321246285348,-0.4745461018350541,Prediction Only,0.3784276015026564,0.1627083508406529,2026-01-27,2026-01-27 05:10:56,2026-01-22
0.12982842783078424,0.48427446712603456,12.796442687747035,77.60729872301643,1781.9041093979258,911.8982615321906,8418_1424,8418,1424,0,0,0.16397098102630286,0.030255934108298185,-0.31416146618051843,Prediction Only,0.2278542524005296,0.06386294702801786,2026-01-27,2026-01-27 05:10:56,2026-01-22
0.14102607646970672,0.5456922856647799,12.796442687747035,77.61651738414643,2156.4384147411233,917.1881920127028,8419_1424,8419,1424,1,1,0.3327783072548778,0.033286295314033196,-0.4009859174822049,Limited,0.2985510770352476,0.08054234673983253,2026-01-27,2026-01-27 05:10:56,2026-01-22
0.14230862043985176,0.36368235756698203,12.796442687747035,77.62573604527645,3062.8157401080234,901.7770006558072,8420_1424,8420,1424,2,2,0.42592792611992214,-0.05643841401767632,-0.4664851226628522,Limited,0.4183297427320372,0.16590153262220403,2026-01-27,2026-01-27 05:10:56,2026-01-22
0.09816362671952365,0.13081959395222081,12.796442687747035,77.63495470640646,1092.788306671683,896.9141979224623,8421_1424,8421,1424,0,0,0.44759224339788395,-0.21611373103134007,-0.42728534775016547,Prediction Only,0.37101079119140484,0.14366454942633564,2026-01-27,2026-01-27 05:10:56,2026-01-22
