Cluster_ID,Dominant_Locality,Localities,Center_Latitude,Center_Longitude,Total_Cells,Cluster_Area_km2,High_Cells,Very_High_Cells,Mean_Median_LST,Maximum_LST,Mean_Heat_Score,Maximum_Heat_Score,Mean_Hot_Frequency,Mean_Tree_Probability,Mean_Built_Probability,Average_Greening_Percent,Total_Trees_To_Plant,Tree_Canopy_Target_m2,Non_Tree_Cooling_Area_m2,Strong_Cells,Moderate_Reliability_Cells,Limited_Cells,Model_Only_Cells,Dominant_Planning_Reliability,Mean_Hot_Frequency_Percent,Mean_Tree_Probability_Percent,Mean_Built_Probability_Percent,Cluster_Rank_Score,Cluster_Rank,Area_Score,Mean_Heat_Score_Normalized,Maximum_Heat_Score_Normalized,Very_High_Share,Very_High_Count_Score,Hot_Frequency_Score,Evidence_Score,Final_Intensity_Score,Planning_Significance_Score,Intensity_Rank,Planning_Rank,Planning_Category
38,Koppa,Koppa,12.805425799496946,77.62573604527645,1,1,0,1,40.9020158156,46.34331566450003,66.62347290299937,66.62347290299937,0.5,0.0276753047364763,0.7324454468325712,17.486538919029,2041,61202.886216601495,113662.5029736885,0,1,0,0,Moderate,50.0,2.7675304736476303,73.24454468325712,66.63643103209955,8,0.0,0.670327930071912,0.5794789529472378,1.0,0.16730017881017414,0.4736842105263158,0.75,65.77377523708375,34.78419381237726,5,14,Major
71,Manduru,"Manduru, Kattugollahalli, Shringaripura",13.090639597556594,77.73635997883662,4,4,3,1,41.23925689516253,48.86487446900001,57.02926049303788,66.27271130758601,0.5583333333333333,0.1353743796644266,0.2065699953818693,11.867593128006613,12604,378039.5308815381,96664.1942387265,0,4,0,0,Moderate,55.833333333333336,13.537437966442658,20.65699953818693,55.898011715430215,30,0.22032134914789372,0.29438753928733663,0.5675974317385549,0.25,0.16730017881017414,0.5657894736842105,0.75,41.03122683864155,34.67726389061468,29,15,Major
23,Kannaiakana Agrahara,Kannaiakana Agrahara,12.823392022996766,77.55198675623635,1,1,0,1,44.12649043310002,46.769662389199965,64.43255124459574,64.43255124459574,0.6,0.0616484284400939,0.0599304039496928,15.91733267872695,4510,135297.32776917907,23875.999018090428,0,1,0,0,Moderate,60.0,6.16484284400939,5.99304039496928,67.10278587121702,7,0.0,0.5844786795817455,0.5052647787295381,1.0,0.16730017881017414,0.631578947368421,0.75,63.642345598876695,33.90401442881799,6,16,Secondary
27,Bannerughatta,Bannerughatta,12.805425799496946,77.57042407849637,1,1,0,1,42.07170498485003,45.59637575390001,61.82549857995355,61.82549857995355,0.75,0.1026239410275593,0.1087188369128853,15.772029533831573,4469,134062.25103756835,23658.04430074737,0,1,0,0,Moderate,75.0,10.26239410275593,10.871883691288527,68.27784900596748,5,0.0,0.48232371827153536,0.4169547928811854,1.0,0.16730017881017414,0.8684210526315791,0.75,62.08523960552264,33.34623639676184,9,17,Secondary
56,Mahadevapura,"Mahadevapura, Garudachar Palya",12.989579590370106,77.68565734262154,2,2,1,1,40.298598564800045,43.66673256290003,60.32050932208418,66.02093511355999,0.5,0.040612116572447,0.7337346051353961,14.391697876162304,3359,100741.88513313614,187092.07239011,0,2,0,0,Moderate,50.0,4.061211657244705,73.37346051353961,58.64946297332788,24,0.09749375012019273,0.42335209813703045,0.5590688920458435,0.5,0.16730017881017414,0.4736842105263158,0.75,47.88449043715362,32.565389068271465,18,18,Secondary
62,Maralakunte,Maralakunte,13.146784045993533,77.69948533431655,1,1,0,1,41.20139164235003,47.29795156040008,61.12496375556523,61.12496375556523,0.75,0.037549894012045,0.1547443725285119,16.083023473164832,4557,136705.69952190106,24124.535209747264,0,1,0,0,Moderate,75.0,3.7549894012045,15.474437252851189,67.78747462889567,6,0.0,0.45487390536502637,0.3932252298895987,1.0,0.16730017881017414,0.8684210526315791,0.75,60.3940080144726,32.55994450871579,10,19,Secondary
33,Gantiganahalli,"Gantiganahalli, Suggatta, Kogilu",13.13780093424362,77.59992379411241,5,5,3,2,39.47518558373002,47.2334193428,54.77373165047909,60.04895196141932,0.4771428571428571,0.0553529404229164,0.3119153298965275,12.877491682834917,16427,492738.74153677793,151135.84260496782,0,4,0,1,Moderate,47.71428571428572,5.53529404229164,31.19153298965275,53.20327437592756,37,0.26416041678685936,0.2060067156965406,0.3567769495758108,0.4,0.2651645097780702,0.4375939849624059,0.64,31.911572066505016,31.691946358480166,39,20,Secondary
73,Handrahalli,"Handrahalli, Kaggalahalli",13.12881782249371,77.74250575292328,3,3,2,1,40.72907254865003,47.8566269294,56.82823231790965,65.73118050145719,0.4285714285714285,0.0487333361525088,0.2266610882943495,12.518073409991397,10642,319210.87195478065,56331.33034496129,1,2,0,0,Moderate,42.85714285714285,4.87333361525088,22.66610882943496,53.91026157318554,35,0.16666666666666669,0.2865104351033654,0.5492538905917763,0.3333333333333333,0.16730017881017414,0.3609022556390976,0.8333333333333334,37.409809781710976,31.511107073912864,32,21,Secondary
8,Soladevanahalli,Soladevanahalli,13.09288537549407,77.47823746719624,1,1,0,1,41.10458477090004,43.72391603750004,61.34906308344563,61.34906308344563,0.6666666666666666,0.0932440496981144,0.4073172518983483,16.396470842678788,3826,114775.2958987515,49189.412528036366,0,1,0,0,Moderate,66.66666666666666,9.32440496981144,40.731725189834826,66.27767749174527,10,0.0,0.4636550314541719,0.40081625739055604,1.0,0.16730017881017414,0.7368421052631579,0.75,58.30344979819394,31.49568783182406,11,22,Secondary
31,Rajiv Gandhi Nagar,Rajiv Gandhi Nagar,13.052461372619476,77.57964273962638,2,2,1,1,40.362515538800025,43.59941465900001,59.487134766673066,64.6000173660754,0.4666666666666667,0.0307937385514378,0.7269056022632867,14.372619859101366,3355,100608.33901370954,186844.05816831772,0,2,0,0,Moderate,46.66666666666666,3.07937385514378,72.69056022632867,57.252548319855066,27,0.09749375012019273,0.39069708252513063,0.5109374415869175,0.5,0.16730017881017414,0.4210526315789474,0.75,44.322371972257116,30.904658461970524,24,23,Secondary
