Cluster_ID,Dominant_Locality,Localities,Center_Latitude,Center_Longitude,Total_Cells,Cluster_Area_km2,High_Cells,Very_High_Cells,Mean_Median_LST,Maximum_LST,Mean_Heat_Score,Maximum_Heat_Score,Mean_Hot_Frequency,Mean_Tree_Probability,Mean_Built_Probability,Average_Greening_Percent,Total_Trees_To_Plant,Tree_Canopy_Target_m2,Non_Tree_Cooling_Area_m2,Strong_Cells,Moderate_Reliability_Cells,Limited_Cells,Model_Only_Cells,Dominant_Planning_Reliability,Mean_Hot_Frequency_Percent,Mean_Tree_Probability_Percent,Mean_Built_Probability_Percent,Cluster_Rank_Score,Cluster_Rank
26,Singanayakanahalli,"Singanayakanahalli, Avalahalli",13.143789675410227,77.56735119145304,3,3,2,1,37.88717121305003,46.69162899260004,56.152308278273274,65.92152269189852,0.41904761904761906,0.048665329020122695,0.6429787195046323,13.15362080014913,6578,197304.31200223695,197304.31200223695,1,1,0,1,Model Only,41.904761904761905,4.86653290201227,64.29787195046323,53.463205112483315,36
33,Gantiganahalli,"Gantiganahalli, Suggatta, Kogilu",13.13780093424362,77.59992379411241,5,5,3,2,39.47518558373002,47.2334193428,54.77373165047909,60.04895196141932,0.47714285714285715,0.0553529404229164,0.3119153298965275,12.877491682834915,16427,492738.74153677793,151135.84260496782,0,4,0,1,Moderate,47.714285714285715,5.53529404229164,31.19153298965275,53.20327437592756,37
57,T.C Palya,"T.C Palya, K.R Pura, Bhattarahalli",13.018026110911485,77.6964124472732,3,3,2,1,38.22529029650003,44.95882957340002,55.50564085274065,62.59774469666447,0.44285714285714284,0.03228101545634363,0.7030113967290769,13.260491499672208,6069,182052.22902125845,215762.5159689078,1,2,0,0,Moderate,44.285714285714285,3.228101545634363,70.30113967290768,52.8174507483756,38
65,Belathur,"Belathur, Kaveri Nagara, Hoodi, Basavanapura, K Dommasandra",13.00305425799497,77.7271413177066,7,7,4,3,37.85304309716431,45.84883071110004,54.93945868197757,61.18626686866379,0.3869047619047619,0.033408694900572224,0.6213326835007008,13.654623056722828,15237,457019.6527591602,498803.96121143794,1,6,0,0,Moderate,38.69047619047619,3.3408694900572224,62.13326835007008,52.043132647865384,39
72,Avalahalli,"Avalahalli, Chimasandra, Bandapura",13.038986704994608,77.73943286587995,3,3,2,1,37.96659175610005,45.41674171280001,55.796247147266776,60.301091350426326,0.41111111111111115,0.030879196827299865,0.6413869031627352,13.187304384549355,5903,177047.32366020948,218571.8078762712,0,3,0,0,Moderate,41.111111111111114,3.0879196827299866,64.13869031627351,51.739139609432186,40
17,Kaggalipura,Kaggalipura,12.800934243621992,77.51050278115127,2,2,1,1,39.332649022700004,45.20719999670005,54.03260587308159,58.21273246574911,0.39285714285714285,0.08377343913901135,0.5782216176774706,13.778355406325005,4594,137783.55406325008,137783.55406325008,0,1,0,1,Model Only,39.285714285714285,8.377343913901134,57.82216176774706,51.72499861646685,41
60,Kundalahalli,"Kundalahalli, Panathur, Munnenkolalu",12.949155587495511,77.71100866072906,4,4,2,2,37.62336771736253,46.29160102190004,54.63322292655697,58.054651505423685,0.3630952380952381,0.02755942112695425,0.698922341105358,14.178689389647289,7470,224030.8878786991,343116.6877071925,0,3,1,0,Moderate,36.30952380952381,2.755942112695425,69.8922341105358,51.36051795521132,42
18,Vaddarapalya,"Vaddarapalya, Agara",12.829380764163373,77.51511211171628,3,3,2,1,40.23444517775002,44.4609266,53.76665332690049,56.08033752165667,0.47222222222222215,0.08222742667809742,0.3285152834335652,12.408172706881539,9258,277706.37181251834,94538.8093939278,0,3,0,0,Moderate,47.222222222222214,8.222742667809742,32.85152834335652,50.99285615529717,43
42,Hyarandahalli,"Hyarandahalli, Hulimangala, Kittaganahalli, Bandenallasandra, Electronics City Phase 1, Thirupalya, Hebbagodi, Hosahalli",12.814408911246858,77.66853697195151,14,14,12,2,37.2902526762286,47.01586236980003,52.99212548547931,74.47621522830951,0.3197278911564626,0.03825791252651821,0.6252465732363726,11.98503382461766,27689,830502.1621320734,847402.5733143992,0,3,6,5,Limited,31.97278911564626,3.825791252651821,62.52465732363726,50.28863952724375,44
39,Kodagalahatti,Kodagalahatti,13.146784045993533,77.63034537584146,2,2,1,1,38.59533938345002,44.8267401905,52.773139871068636,56.09692510523176,0.3333333333333333,0.0433837075834162,0.4911926968488842,13.764171712640614,5305,159130.1810023059,116153.25325050634,0,2,0,0,Moderate,33.33333333333333,4.33837075834162,49.11926968488842,49.438810884955494,45
